go,'G OW', s, 
call,'K AO L', s, AO
the,'DH AH', s, 
of,'AH V', s, 
surrey,'S ɤ r ǝ IH', s, IH
and,'AH N D', s, 
of,'AH V', s, 
but,'B AH T', s, 
bid,'B IH D', s, IH
them,'DH EH M', s, 
and,'AH N D', s, 
well,'W EH L', s, 
of,'AH V', s, 
them,'DH EH M', s, 
good,'G UH D', s, UH
speed,'S P IY D', s, IY
of,'AH V', s, 
my,'M AY', s, AY
poorest,'P OW r ǝ S T', s, 
subjects,'S AH B JH IH K T S', s, IH
at,'AE T', s, AE
this,'DH IH S', s, IH
asleep,'AH S L IY P', s, IY
o,'OW', s, 
sleep,'S L IY P', s, IY
o,'OW', s, 
sleep,'S L IY P', s, IY
soft,'S AA F T', s, AA
nuse,'N ER S', s, 
i,'AY', s, AY
thee,'DH IY', s, IY
that,'DH AE T', s, AE
thou,'DH AW', s, 
no,'N OW', s, 
wilt,'W IH L T', s, IH
my,'M AY', s, AY
down,'D ǝ UH N', s, UH
and,'AH N D', s, 
steep,'S T IY P', s, IY
my,'M AY', s, AY
senses,'S EH N S IH Z', s, IH
in,'IH N', s, IH
whhy,'ʍ ǝ IH', s, IH
sleep,'S L IY P', s, IY
thou,'DH AW', s, 
in,'IH N', s, IH
cribs,'K R IH B Z', s, IH
upon,'AH P AA N', s, AA
pallets,'P AW L ǝ T S', s, 
thee,'DH IY', s, IY
and,'AH N D', s, 
with,'W IH DH', s, IH
to,'T UW', s, UW
slumber,'S L ɤ M B ǝ R', s, 
than,'DH AE N', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
perfumed,'P ɐ R F Y ǝ M D', s, 
of,'AH V', s, 
the,'DH AH', s, 
great,'G r e T', s, 
under,'ɤ N D ǝ R', s, 
the,'DH AH', s, 
of,'AH V', s, 
costly,'K AA S T L IY', s, AA IY
and,'AH N D', s, 
with,'W IH DH', s, IH
of,'AH V', s, 
sweetest,'S W IY T AH S T', s, IY
melody,'M EH L AH D IY', s, IY
o,'OW', s, 
thou,'DH AW', s, 
dull,'D ɤ L', s, 
god,'G AA D', s, AA
whhy,'ʍ ǝ IH', s, IH
thou,'DH AW', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
in,'IH N', s, IH
loathhsme,'L OW DH S AH M', s, 
beds,'B EH D Z', s, 
and,'AH N D', s, 
the,'DH AH', s, 
a,'AH', s, 
or,'AO R', s, AO
a,'AH', s, 
common,'K AA M AH N', s, AA
bell,'B EH L', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
upon,'AH P AA N', s, AA
the,'DH AH', s, 
and,'AH N D', s, 
gidddy,'G IH D ǝ IH', s, IH IH
mast,'M AW S T', s, 
seal,'S IY L', s, IY
up,'AH P', s, 
the,'DH AH', s, 
and,'AH N D', s, 
rock,'R AA K', s, AA
his,'HH IH Z', s, IH
brains,'B R EY N Z', s, EY
in,'IH N', s, IH
of,'AH V', s, 
the,'DH AH', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
visitation,'V IH Z AH T EY SH AH N', s, IH EY
of,'AH V', s, 
the,'DH AH', s, 
who,'HH UW', s, UW
the,'DH AH', s, 
by,'B AY', s, AY
the,'DH AH', s, 
top,'T AA P', s, AA
their,'DH EH R', s, 
heads,'HH EH D Z', s, 
and,'AH N D', s, 
them,'DH EH M', s, 
with,'W IH DH', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
slippery,'S L IH P r ǝ IH', s, IH IH
clouds,'K L AW D Z', s, 
that,'DH AE T', s, AE
with,'W IH DH', s, IH
the,'DH AH', s, 
hurly,'ɐ R L ǝ IH', s, IH
death,'D EH TH', s, 
itself,'IH T S EH L F', s, IH
thou,'DH AW', s, 
o,'OW', s, 
sleep,'S L IY P', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
wet,'W EH T', s, 
sea-boy,'S IY - B ǝ IH', s, IY IH
in,'IH N', s, IH
an,'AE N', s, AE
so,'S OW', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
most,'M OW S T', s, 
with,'W IH DH', s, IH
all,'AA L', s, AA
apppliances,'AH P L AY AH N S AH Z', s, AY
and,'AH N D', s, 
means,'M IY N Z', s, IY
to,'T UW', s, UW
boot,'B UW T', s, UW
it,'IH T', s, IH
to,'T UW', s, UW
a,'AH', s, 
then,'DH EH N', s, 
down,'D ǝ UH N', s, UH
the,'DH AH', s, 
that,'DH AE T', s, AE
wears,'W EH R Z', s, 
a,'AH', s, 
crown,'K r ǝ UH N', s, UH
is,'IH Z', s, IH
it,'IH T', s, IH
good,'G UH D', s, UH
lords,'L AO R D Z', s, AO
whhy,'ʍ ǝ IH', s, IH
then,'DH EH N', s, 
good,'G UH D', s, UH
to,'T UW', s, UW
you,'Y UW', s, UW
all,'AA L', s, AA
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
you,'Y UW', s, UW
read,'r e D', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
sent,'S EH N T', s, 
you,'Y UW', s, UW
then,'DH EH N', s, 
you,'Y UW', s, UW
percve,'P ER S IY V', s, IY
the,'DH AH', s, 
body,'B AA D IY', s, AA IY
of,'AH V', s, 
our,'OW R', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
what,'W AH T', s, 
rank,'R AE NG K', s, AE
diseases,'D IH S IY Z IH Z', s, IH IY IH
and,'AH N D', s, 
with,'W IH DH', s, IH
what,'W AH T', s, 
near,'N IY R', s, IY
the,'DH AH', s, 
heart,'HH AA R T', s, AA
of,'AH V', s, 
it,'IH T', s, IH
o,'OW', s, 
god,'G AA D', s, AA
that,'DH AE T', s, AE
read,'r e D', s, 
the,'DH AH', s, 
book,'B UH K', s, UH
of,'AH V', s, 
and,'AH N D', s, 
see,'S IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
mountains,'M AW N T AH N Z', s, 
level,'L EH V AH L', s, 
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
solid,'S AA L AH D', s, AA
melt,'M EH L T', s, 
itself,'IH T S EH L F', s, IH
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
sea,'S IY', s, IY
and,'AH N D', s, 
to,'T UW', s, UW
see,'S IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
ocean,'OW SH AH N', s, 
too,'T UW', s, UW
for,'F AO R', s, AO
hips,'HH IH P S', s, IH
and,'AH N D', s, 
fill,'F IH L', s, IH
the,'DH AH', s, 
cup,'K ɤ P', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
liquors,'L IH K ǝ R Z', s, IH
o,'OW', s, 
if,'IH F', s, IH
this,'DH IH S', s, IH
wre,'W ER', s, 
seen,'S IY N', s, IY
the,'DH AH', s, 
youth,'Y UW TH', s, UW
his,'HH IH Z', s, IH
progress,'P r OW G r e S', s, 
what,'W AH T', s, 
perils,'P EH R AH L Z', s, 
past,'P AW S T', s, 
what,'W AH T', s, 
crosses,'K R AO S IH Z', s, AO IH
to,'T UW', s, UW
ensue,'IH N S UW', s, IH UW
shut,'SH AH T', s, 
the,'DH AH', s, 
book,'B UH K', s, UH
and,'AH N D', s, 
sit,'S IH T', s, IH
him,'HH IH M', s, IH
down,'D ǝ UH N', s, UH
and,'AH N D', s, 
not,'N AA T', s, AA
ten,'T EH N', s, 
years,'Y IH R Z', s, IH
and,'AH N D', s, 
great,'G r e T', s, 
friends,'F R EH N D Z', s, 
did,'D IH D', s, IH
feast,'F e S T', s, 
and,'AH N D', s, 
in,'IH N', s, IH
years,'Y IH R Z', s, IH
after,'AW F T ǝ R', s, 
wre,'W ER', s, 
at,'AE T', s, AE
wars,'W AO R Z', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
but,'B AH T', s, 
years,'Y IH R Z', s, IH
this,'DH IH S', s, IH
was,'W AA Z', s, AA
the,'DH AH', s, 
man,'M AE N', s, AE
nearest,'N IY r ǝ S T', s, IY
my,'M AY', s, AY
soul,'S OW L', s, 
who,'HH UW', s, UW
a,'AH', s, 
in,'IH N', s, IH
my,'M AY', s, AY
affairs,'AH F EH R Z', s, 
and,'AH N D', s, 
laid,'L EH D', s, 
his,'HH IH Z', s, IH
and,'AH N D', s, 
under,'ɤ N D ǝ R', s, 
my,'M AY', s, AY
foot,'F UH T', s, UH
yea,'Y EH', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
even,'IY V IH N', s, IY IH
to,'T UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
him,'HH IH M', s, IH
but,'B AH T', s, 
of,'AH V', s, 
you,'Y UW', s, UW
was,'W AA Z', s, AA
by,'B AY', s, AY
you,'Y UW', s, UW
cousin,'K AH Z AH N', s, 
nevil,'N EY V IY L', s, EY IY
as,'AE Z', s, AE
i,'AY', s, AY
when,'ʍ e N', s, 
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
of,'AH V', s, 
tears,'T EH R Z', s, 
then,'DH EH N', s, 
and,'AH N D', s, 
rated,'r EH T IH D', s, IH
by,'B AY', s, AY
did,'D IH D', s, IH
speak,'S P IY K', s, IY
a,'AH', s, 
thou,'DH AW', s, 
by,'B AY', s, AY
the,'DH AH', s, 
my,'M AY', s, AY
cousin,'K AH Z AH N', s, 
ascends,'AH S EH N D Z', s, 
my,'M AY', s, AY
thhrne,'TH r OW N', s, 
then,'DH EH N', s, 
god,'G AA D', s, AA
i,'AY', s, AY
had,'HH AE D', s, AE
no,'N OW', s, 
intent,'IH N T EH N T', s, IH
but,'B AH T', s, 
that,'DH AE T', s, AE
necessity,'N AH S EH S AH T IY', s, IY
so,'S OW', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
and,'AH N D', s, 
greatness,'G r e T N ǝ S', s, 
wre,'W ER', s, 
to,'T UW', s, UW
kiss,'K IH S', s, IH
the,'DH AH', s, 
shall,'SH AE L', s, AE
thus,'DH ɤ S', s, 
did,'D IH D', s, IH
he,'HH IY', s, IY
it,'IH T', s, IH
the,'DH AH', s, 
will,'W IH L', s, IH
that,'DH AE T', s, AE
sin,'S IH N', s, IH
shall,'SH AE L', s, AE
break,'B R EY K', s, EY
into,'IH N T UW', s, IH UW
went,'W EH N T', s, 
on,'AA N', s, AA
this,'DH IH S', s, IH
condition,'K AH N D IH SH AH N', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
amity,'AE M IH T IY', s, AE IH IY
then,'DH EH N', s, 
necessities,'N AH S EH S IH T IY Z', s, IH IY
then,'DH EH N', s, 
let,'L EH T', s, 
us,'AH S', s, 
meet,'M IY T', s, IY
them,'DH EH M', s, 
necessities,'N AH S EH S IH T IY Z', s, IH IY
and,'AH N D', s, 
that,'DH AE T', s, AE
even,'IY V IH N', s, IY IH
cries,'K R AY Z', s, AY
out,'AW T', s, 
on,'AA N', s, AA
us,'AH S', s, 
the,'DH AH', s, 
bishop,'B IH SH AH P', s, IH
and,'AH N D', s, 
fifty,'F IH F T IY', s, IH IY
i,'AY', s, AY
will,'W IH L', s, IH
your,'Y AO R', s, AO
and,'AH N D', s, 
wre,'W ER', s, 
inward,'IH N W ǝ R D', s, IH
wars,'W AO R Z', s, AO
out,'AW T', s, 
of,'AH V', s, 
we,'W IY', s, IY
dear,'D IY R', s, IY
lords,'L AO R D Z', s, AO
unto,'AH N T UW', s, UW
the,'DH AH', s, 
holy,'HH OW L IY', s, IY
land,'L AE N D', s, AE
lords,'L AO R D Z', s, AO
if,'IH F', s, IH
god,'G AA D', s, AA
doth,'D AO TH', s, AO
successsful,'S AH K S EH S F AH L', s, 
end,'EH N D', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
that,'DH AE T', s, AE
at,'AE T', s, AE
our,'OW R', s, 
doors,'D AO R Z', s, AO
we,'W IY', s, IY
will,'W IH L', s, IH
our,'OW R', s, 
youth,'Y UW TH', s, UW
lead,'L EH D', s, 
on,'AA N', s, AA
to,'T UW', s, UW
fields,'F IY L D Z', s, IY
and,'AH N D', s, 
no,'N OW', s, 
but,'B AH T', s, 
what,'W AH T', s, 
our,'OW R', s, 
navy,'N EY V IY', s, EY IY
is,'IH Z', s, IH
our,'OW R', s, 
collected,'K AH L EH K T AH D', s, 
our,'OW R', s, 
in,'IH N', s, IH
well,'W EH L', s, 
invested,'IH N V EH S T AH D', s, IH
and,'AH N D', s, 
everything,'e V r ǝ IH ˌ TH IH NG', s, IH IH
level,'L EH V AH L', s, 
to,'T UW', s, UW
our,'OW R', s, 
wish,'W IH SH', s, IH
only,'OW N L IY', s, IY
we,'W IY', s, IY
want,'W AA N T', s, AA
a,'AH', s, 
strength,'S T R EH NG K TH', s, 
and,'AH N D', s, 
us,'AH S', s, 
till,'T IH L', s, IH
rebels,'R EH B AH L Z', s, 
afoot,'AH F UH T', s, UH
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
son,'S AO ̃', s, AO
of,'AH V', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
your,'Y AO R', s, AO
and,'AH N D', s, 
accompanied,'AH K AH M P AH N IY D', s, IY
is,'IH Z', s, IH
not,'N AA T', s, AA
his,'HH IH Z', s, IH
thomas,'T AA M AH S', s, AA
of,'AH V', s, 
with,'W IH DH', s, IH
him,'HH IH M', s, IH
but,'B AH T', s, 
well,'W EH L', s, 
to,'T UW', s, UW
thee,'DH IY', s, IY
thomas,'T AA M AH S', s, AA
of,'AH V', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
not,'N AA T', s, AA
with,'W IH DH', s, IH
the,'DH AH', s, 
he,'HH IY', s, IY
thee,'DH IY', s, IY
and,'AH N D', s, 
thou,'DH AW', s, 
dost,'D AA S T', s, AA
neglect,'N AH G L EH K T', s, 
him,'HH IH M', s, IH
thomas,'T AA M AH S', s, AA
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
a,'AH', s, 
better,'B e T ə R', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
affection,'AH F EH K SH AH N', s, 
than,'DH AE N', s, AE
all,'AA L', s, AA
cherish,'CH EH R IH SH', s, IH
it,'IH T', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
offices,'AO F AH S AH Z', s, AO
thou,'DH AW', s, 
effect,'IH F EH K T', s, IH
of,'AH V', s, 
after,'AW F T ǝ R', s, 
i,'AY', s, AY
am,'AE M', s, AE
dead,'D EH D', s, 
between,'B IH T W IY N', s, IH IY
his,'HH IH Z', s, IH
greatness,'G r e T N ǝ S', s, 
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
omit,'ǝ M IH T', s, IH
him,'HH IH M', s, IH
not,'N AA T', s, AA
blunt,'B L ɤ N T', s, 
not,'N AA T', s, AA
his,'HH IH Z', s, IH
nor,'N AO R', s, AO
the,'DH AH', s, 
good,'G UH D', s, UH
of,'AH V', s, 
his,'HH IH Z', s, IH
by,'B AY', s, AY
cold,'K OW L D', s, 
or,'AO R', s, AO
of,'AH V', s, 
his,'HH IH Z', s, IH
will,'W IH L', s, IH
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
if,'IH F', s, IH
he,'HH IY', s, IY
be,'B IY', s, IY
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
a,'AH', s, 
tear,'T IY R', s, IY
for,'F AO R', s, AO
and,'AH N D', s, 
a,'AH', s, 
open,'OW P ǝ N', s, 
as,'AE Z', s, AE
for,'F AO R', s, AO
charity,'CH EH R IH T IY', s, IH IY
yet,'Y EH T', s, 
being,'B IY IH NG', s, IY IH
incensed,'IH N S e N S IH D', s, IH IH
he,'HH IY', s, IY
is,'IH Z', s, IH
flint,'F L IH N T', s, IH
as,'AE Z', s, AE
as,'AE Z', s, AE
and,'AH N D', s, 
as,'AE Z', s, AE
sudden,'S AH D AH N', s, 
as,'AE Z', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
therefre,'DH EH R F AO R', s, AO
must,'M AH S T', s, 
be,'B IY', s, IY
well,'W EH L', s, 
him,'HH IH M', s, IH
for,'F AO R', s, AO
faults,'F AO L T S', s, AO
and,'AH N D', s, 
do,'D OW', s, 
it,'IH T', s, IH
when,'ʍ e N', s, 
you,'Y UW', s, UW
percve,'P ER S IY V', s, IY
his,'HH IH Z', s, IH
blood,'B L AH D', s, 
to,'T UW', s, UW
mirth,'M ɐ R TH', s, 
but,'B AH T', s, 
being,'B IY IH NG', s, IY IH
moody,'M UW D IY', s, UW IY
him,'HH IH M', s, IH
and,'AH N D', s, 
till,'T IH L', s, IH
that,'DH AE T', s, AE
his,'HH IH Z', s, IH
passions,'P AE SH AH N Z', s, AE
a,'AH', s, 
on,'AA N', s, AA
confound,'K AA N F AW N D', s, AA
with,'W IH DH', s, IH
this,'DH IH S', s, IH
thomas,'T AA M AH S', s, AA
and,'AH N D', s, 
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
a,'AH', s, 
shelter,'SH e L T ǝ R', s, 
to,'T UW', s, UW
friends,'F R EH N D Z', s, 
a,'AH', s, 
of,'AH V', s, 
gold,'G OW L D', s, 
to,'T UW', s, UW
bind,'B AY N D', s, AY
in,'IH N', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
vessel,'V EH S AH L', s, 
of,'AH V', s, 
their,'DH EH R', s, 
blood,'B L AH D', s, 
mingled,'M IH NG G AH L D', s, IH
with,'W IH DH', s, IH
venom,'V EH N AH M', s, 
of,'AH V', s, 
as,'AE Z', s, AE
perfoce,'P ER F AO R S', s, AO
the,'DH AH', s, 
will,'W IH L', s, IH
pour,'P UW R', s, UW
it,'IH T', s, IH
in,'IH N', s, IH
shall,'SH AE L', s, AE
never,'N e V ǝ R', s, 
leak,'L IY K', s, IY
it,'IH T', s, IH
do,'D OW', s, 
work,'W AO R K', s, AO
as,'AE Z', s, AE
as,'AE Z', s, AE
or,'AO R', s, AO
rash,'R AE SH', s, AE
whhy,'ʍ ǝ IH', s, IH
art,'AA R T', s, AA
thou,'DH AW', s, 
not,'N AA T', s, AA
at,'AE T', s, AE
with,'W IH DH', s, IH
him,'HH IH M', s, IH
thomas,'T AA M AH S', s, AA
and,'AH N D', s, 
accompanied,'AH K AH M P AH N IY D', s, IY
thou,'DH AW', s, 
tell,'T EH L', s, 
that,'DH AE T', s, AE
most,'M OW S T', s, 
subject,'S AH B JH EH K T', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
fattest,'F AE T AH S T', s, AE
to,'T UW', s, UW
weeds,'W IY D Z', s, IY
and,'AH N D', s, 
he,'HH IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
youth,'Y UW TH', s, UW
is,'IH Z', s, IH
overspread,'OW V ǝ R S P r e D', s, 
with,'W IH DH', s, IH
them,'DH EH M', s, 
therefre,'DH EH R F AO R', s, AO
my,'M AY', s, AY
grief,'G R IY F', s, IY
itself,'IH T S EH L F', s, IH
the,'DH AH', s, 
of,'AH V', s, 
death,'D EH TH', s, 
the,'DH AH', s, 
blood,'B L AH D', s, 
weeps,'W IY P S', s, IY
from,'F R AH M', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
when,'ʍ e N', s, 
i,'AY', s, AY
do,'D OW', s, 
in,'IH N', s, IH
forms,'F AO R M Z', s, AO
and,'AH N D', s, 
rotten,'R AA T AH N', s, AA
that,'DH AE T', s, AE
you,'Y UW', s, UW
shall,'SH AE L', s, AE
look,'L UH K', s, UH
upon,'AH P AA N', s, AA
when,'ʍ e N', s, 
i,'AY', s, AY
am,'AE M', s, AE
with,'W IH DH', s, IH
my,'M AY', s, AY
for,'F AO R', s, AO
when,'ʍ e N', s, 
his,'HH IH Z', s, IH
hath,'HH AE TH', s, AE
no,'N OW', s, 
curb,'K ɐ R B', s, 
when,'ʍ e N', s, 
and,'AH N D', s, 
hot,'HH AA T', s, AA
blood,'B L AH D', s, 
his,'HH IH Z', s, IH
when,'ʍ e N', s, 
means,'M IY N Z', s, IY
and,'AH N D', s, 
lavish,'L AE V IH SH', s, AE IH
meet,'M IY T', s, IY
o,'OW', s, 
with,'W IH DH', s, IH
what,'W AH T', s, 
shall,'SH AE L', s, AE
his,'HH IH Z', s, IH
affections,'AH F EH K SH AH N Z', s, 
towards,'T AH W AO R D Z', s, AO
peril,'P EH R AH L', s, 
and,'AH N D', s, 
seldom,'S EH L D AH M', s, 
when,'ʍ e N', s, 
the,'DH AH', s, 
bee,'B IY', s, IY
doth,'D AO TH', s, AO
in,'IH N', s, IH
the,'DH AH', s, 
dead,'D EH D', s, 
westmoreland,'W e S T M ǝ R ˌ L AW N D', s, 
o,'OW', s, 
