go,'G OW', s, 
westmoreland,'W e S T M ǝ R ˌ L AW N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
a,'AH', s, 
summer,'S ɤ M ǝ R', s, 
bird,'B ɐ R D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
up,'AH P', s, 
of,'AH V', s, 
look,'L UH K', s, UH
and,'AH N D', s, 
good,'G UH D', s, UH
me,'M IY', s, IY
sick,'S IH K', s, IH
will,'W IH L', s, IH
never,'N e V ǝ R', s, 
with,'W IH DH', s, IH
both,'B OW TH', s, 
full,'F UH L', s, UH
but,'B AH T', s, 
fair,'F EH R', s, 
still,'S T IH L', s, IH
in,'IH N', s, IH
she,'SH IY', s, IY
either,'EH DH ǝ R', s, 
a,'AH', s, 
stomach,'S T AH M AH K', s, 
and,'AH N D', s, 
no,'N OW', s, 
food,'F UW D', s, UW
the,'DH AH', s, 
poor,'P UH R', s, UH
in,'IH N', s, IH
a,'AH', s, 
feast,'F e S T', s, 
and,'AH N D', s, 
the,'DH AH', s, 
the,'DH AH', s, 
rich,'R IH CH', s, IH
that,'DH AE T', s, AE
and,'AH N D', s, 
it,'IH T', s, IH
not,'N AA T', s, AA
i,'AY', s, AY
at,'AE T', s, AE
this,'DH IH S', s, IH
and,'AH N D', s, 
my,'M AY', s, AY
fails,'F EH L Z', s, 
and,'AH N D', s, 
my,'M AY', s, AY
brain,'B r EH N', s, 
is,'IH Z', s, IH
gidddy,'G IH D ǝ IH', s, IH IH
o,'OW', s, 
me,'M IY', s, IY
near,'N IY R', s, IY
me,'M IY', s, IY
i,'AY', s, AY
am,'AE M', s, AE
ill,'IH L', s, IH
i,'AY', s, AY
you,'Y UW', s, UW
me,'M IY', s, IY
up,'AH P', s, 
and,'AH N D', s, 
bear,'B EH R', s, 
me,'M IY', s, IY
into,'IH N T UW', s, IH UW
softly,'S AO F T L IY', s, AO IY
let,'L EH T', s, 
be,'B IY', s, IY
no,'N OW', s, 
my,'M AY', s, AY
friends,'F R EH N D Z', s, 
unless,'ɤ N L e S', s, 
dull,'D ɤ L', s, 
and,'AH N D', s, 
will,'W IH L', s, IH
whisper,'ʍ IH S P ǝ R', s, IH
to,'T UW', s, UW
my,'M AY', s, AY
spirit,'S P IH R AH T', s, IH
set,'S EH T', s, 
me,'M IY', s, IY
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
upon,'AH P AA N', s, AA
my,'M AY', s, AY
whhy,'ʍ ǝ IH', s, IH
did,'D IH D', s, IH
you,'Y UW', s, UW
me,'M IY', s, IY
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
the,'DH AH', s, 
of,'AH V', s, 
is,'IH Z', s, IH
he,'HH IY', s, IY
let,'L EH T', s, 
me,'M IY', s, IY
see,'S IY', s, IY
him,'HH IH M', s, IH
he,'HH IY', s, IY
is,'IH Z', s, IH
not,'N AA T', s, AA
is,'IH Z', s, IH
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
who,'HH UW', s, UW
took,'T UH K', s, UH
it,'IH T', s, IH
from,'F R AH M', s, 
my,'M AY', s, AY
the,'DH AH', s, 
hath,'HH AE TH', s, AE
it,'IH T', s, IH
go,'G OW', s, 
seek,'S IY K', s, IY
him,'HH IH M', s, IH
out,'AW T', s, 
is,'IH Z', s, IH
he,'HH IY', s, IY
so,'S OW', s, 
hasty,'HH EY S T IY', s, EY IY
that,'DH AE T', s, AE
he,'HH IY', s, IY
doth,'D AO TH', s, AO
my,'M AY', s, AY
sleep,'S L IY P', s, IY
my,'M AY', s, AY
death,'D EH TH', s, 
him,'HH IH M', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
him,'HH IH M', s, IH
this,'DH IH S', s, IH
part,'P AA R T', s, AA
of,'AH V', s, 
his,'HH IH Z', s, IH
with,'W IH DH', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
to,'T UW', s, UW
end,'EH N D', s, 
me,'M IY', s, IY
see,'S IY', s, IY
sons,'S AH N Z', s, 
what,'W AH T', s, 
you,'Y UW', s, UW
natre,'N EY CH ER', s, EY
into,'IH N T UW', s, IH UW
revolt,'r IH V ɒ L T', s, IH
when,'ʍ e N', s, 
gold,'G OW L D', s, 
object,'AA B JH EH K T', s, AA
for,'F AO R', s, AO
this,'DH IH S', s, IH
the,'DH AH', s, 
foolish,'F UW L IH SH', s, UW IH
their,'DH EH R', s, 
sleep,'S L IY P', s, IY
with,'W IH DH', s, IH
their,'DH EH R', s, 
brains,'B R EY N Z', s, EY
with,'W IH DH', s, IH
their,'DH EH R', s, 
with,'W IH DH', s, IH
for,'F AO R', s, AO
this,'DH IH S', s, IH
and,'AH N D', s, 
piled,'P ǝ IH L D', s, IH
up,'AH P', s, 
the,'DH AH', s, 
heaps,'HH IY P S', s, IY
of,'AH V', s, 
gold,'G OW L D', s, 
for,'F AO R', s, AO
this,'DH IH S', s, IH
been,'B IH N', s, IH
to,'T UW', s, UW
invest,'IH N V EH S T', s, IH
their,'DH EH R', s, 
sons,'S AH N Z', s, 
with,'W IH DH', s, IH
arts,'AA R T S', s, AA
and,'AH N D', s, 
martial,'M AA R SH AH L', s, AA
when,'ʍ e N', s, 
the,'DH AH', s, 
bee,'B IY', s, IY
from,'F R AH M', s, 
every,'e V r ǝ IH', s, IH
the,'DH AH', s, 
virtuous,'V ER CH UW AH S', s, UW
sweets,'S W IY T S', s, IY
our,'OW R', s, 
with,'W IH DH', s, IH
our,'OW R', s, 
with,'W IH DH', s, IH
we,'W IY', s, IY
it,'IH T', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
the,'DH AH', s, 
bees,'B IY Z', s, IY
for,'F AO R', s, AO
our,'OW R', s, 
pains,'P EH N Z', s, 
this,'DH IH S', s, IH
yields,'Y IY L D Z', s, IY
his,'HH IH Z', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
is,'IH Z', s, IH
he,'HH IY', s, IY
that,'DH AE T', s, AE
will,'W IH L', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
till,'T IH L', s, IH
his,'HH IH Z', s, IH
friend,'F R EH N D', s, 
hath,'HH AE TH', s, AE
me,'M IY', s, IY
but,'B AH T', s, 
did,'D IH D', s, IH
he,'HH IY', s, IY
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
lo,'L OW', s, 
he,'HH IY', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
depart,'D IH P AA R T', s, IH AA
the,'DH AH', s, 
us,'AH S', s, 
wish,'W IH SH', s, IH
was,'W AA Z', s, AA
to,'T UW', s, UW
that,'DH AE T', s, AE
i,'AY', s, AY
too,'T UW', s, UW
by,'B AY', s, AY
thee,'DH IY', s, IY
i,'AY', s, AY
thee,'DH IY', s, IY
dost,'D AA S T', s, AA
thou,'DH AW', s, 
so,'S OW', s, 
for,'F AO R', s, AO
empty,'e M T ǝ IH', s, IH
chair,'CH EH R', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
needs,'N IY D Z', s, IY
invest,'IH N V EH S T', s, IH
thee,'DH IY', s, IY
with,'W IH DH', s, IH
my,'M AY', s, AY
be,'B IY', s, IY
o,'OW', s, 
foolish,'F UW L IH SH', s, UW IH
youth,'Y UW TH', s, UW
thou,'DH AW', s, 
the,'DH AH', s, 
greatness,'G r e T N ǝ S', s, 
that,'DH AE T', s, AE
will,'W IH L', s, IH
thee,'DH IY', s, IY
but,'B AH T', s, 
a,'AH', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
of,'AH V', s, 
dignity,'D IH G N AH T IY', s, IH IY
is,'IH Z', s, IH
held,'HH EH L D', s, 
from,'F R AH M', s, 
with,'W IH DH', s, IH
so,'S OW', s, 
weak,'W IY K', s, IY
a,'AH', s, 
that,'DH AE T', s, AE
it,'IH T', s, IH
will,'W IH L', s, IH
drop,'D R AA P', s, AA
my,'M AY', s, AY
is,'IH Z', s, IH
dim,'D IH M', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
that,'DH AE T', s, AE
after,'AW F T ǝ R', s, 
few,'F Y UW', s, UW
wre,'W ER', s, 
and,'AH N D', s, 
at,'AE T', s, AE
my,'M AY', s, AY
death,'D EH TH', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
up,'AH P', s, 
my,'M AY', s, AY
did,'D IH D', s, IH
manifest,'M AE N AH F EH S T', s, AE
thou,'DH AW', s, 
me,'M IY', s, IY
not,'N AA T', s, AA
and,'AH N D', s, 
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
me,'M IY', s, IY
of,'AH V', s, 
it,'IH T', s, IH
thou,'DH AW', s, 
a,'AH', s, 
in,'IH N', s, IH
whom,'HH UW M', s, UW
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
whetted,'ʍ e T IH D', s, IH
on,'AA N', s, AA
heart,'HH AA R T', s, AA
to,'T UW', s, UW
stab,'S T AE B', s, AE
at,'AE T', s, AE
an,'AE N', s, AE
of,'AH V', s, 
my,'M AY', s, AY
what,'W AH T', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
forbear,'F ǝ R B EH R', s, 
me,'M IY', s, IY
an,'AE N', s, AE
then,'DH EH N', s, 
get,'G EH T', s, 
thee,'DH IY', s, IY
and,'AH N D', s, 
dig,'D IH G', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
bid,'B IH D', s, IH
the,'DH AH', s, 
merrry,'M e r ǝ IH', s, IH
to,'T UW', s, UW
ear,'IY R', s, IY
that,'DH AE T', s, AE
thou,'DH AW', s, 
art,'AA R T', s, AA
not,'N AA T', s, AA
that,'DH AE T', s, AE
i,'AY', s, AY
am,'AE M', s, AE
dead,'D EH D', s, 
let,'L EH T', s, 
all,'AA L', s, AA
the,'DH AH', s, 
tears,'T EH R Z', s, 
that,'DH AE T', s, AE
my,'M AY', s, AY
hease,'HH ER S', s, 
be,'B IY', s, IY
drops,'D R AA P S', s, AA
of,'AH V', s, 
to,'T UW', s, UW
only,'OW N L IY', s, IY
compound,'K AA M P AW N D', s, AA
me,'M IY', s, IY
with,'W IH DH', s, IH
dust,'D AH S T', s, 
that,'DH AE T', s, AE
thee,'DH IY', s, IY
unto,'AH N T UW', s, UW
the,'DH AH', s, 
pluck,'P L ɤ K', s, 
down,'D ǝ UH N', s, UH
my,'M AY', s, AY
break,'B R EY K', s, EY
my,'M AY', s, AY
decrees,'D IH K R IY Z', s, IH IY
for,'F AO R', s, AO
a,'AH', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
mock,'M AA K', s, AA
at,'AE T', s, AE
form,'F AO R M', s, AO
the,'DH AH', s, 
fifth,'F IH F T', s, IH
is,'IH Z', s, IH
up,'AH P', s, 
vanity,'V AE N AH T IY', s, AE IY
down,'D ǝ UH N', s, UH
all,'AA L', s, AA
you,'Y UW', s, UW
and,'AH N D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
english,'IH NG G L IH SH', s, IH IH
court,'K AO R T', s, AO
from,'F R AH M', s, 
every,'e V r ǝ IH', s, IH
of,'AH V', s, 
idleness,'ǝ IH D L N ǝ S', s, IH
you,'Y UW', s, UW
of,'AH V', s, 
your,'Y AO R', s, AO
you,'Y UW', s, UW
a,'AH', s, 
that,'DH AE T', s, AE
will,'W IH L', s, IH
swear,'S W EH R', s, 
drink,'D R IH NG K', s, IH
revel,'R EH V AH L', s, 
the,'DH AH', s, 
rob,'R AA B', s, AA
and,'AH N D', s, 
commit,'K AH M IH T', s, IH
the,'DH AH', s, 
oldest,'OW L D AH S T', s, 
sins,'S IH N Z', s, IH
the,'DH AH', s, 
of,'AH V', s, 
be,'B IY', s, IY
he,'HH IY', s, IY
will,'W IH L', s, IH
you,'Y UW', s, UW
no,'N OW', s, 
england,'IH NG G L AH N D', s, IH
shall,'SH AE L', s, AE
gild,'G IH L D', s, IH
his,'HH IH Z', s, IH
guilt,'G IH L T', s, IH
england,'IH NG G L AH N D', s, IH
shall,'SH AE L', s, AE
him,'HH IH M', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
fifth,'F IH F T', s, IH
from,'F R AH M', s, 
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
the,'DH AH', s, 
dog,'D AO G', s, AO
shall,'SH AE L', s, AE
flesh,'F L EH SH', s, 
his,'HH IH Z', s, IH
tooth,'T UH TH', s, UH
on,'AA N', s, AA
every,'e V r ǝ IH', s, IH
o,'OW', s, 
my,'M AY', s, AY
poor,'P UH R', s, UH
sick,'S IH K', s, IH
with,'W IH DH', s, IH
civil,'S IH V AH L', s, IH
when,'ʍ e N', s, 
that,'DH AE T', s, AE
my,'M AY', s, AY
not,'N AA T', s, AA
what,'W AH T', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
do,'D OW', s, 
when,'ʍ e N', s, 
is,'IH Z', s, IH
o,'OW', s, 
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
be,'B IY', s, IY
a,'AH', s, 
wilderness,'W IH L D ǝ R N ǝ S', s, IH
again,'ǝ ɡ EH N', s, 
peopled,'P IY P AH L D', s, IY
with,'W IH DH', s, IH
old,'OW L D', s, 
inhabitants,'IH N HH AE B AH T AH N T S', s, IH AE
o,'OW', s, 
my,'M AY', s, AY
son,'S AO ̃', s, AO
god,'G AA D', s, AA
put,'P UH T', s, UH
it,'IH T', s, IH
in,'IH N', s, IH
to,'T UW', s, UW
it,'IH T', s, IH
that,'DH AE T', s, AE
thou,'DH AW', s, 
win,'W IH N', s, IH
the,'DH AH', s, 
so,'S OW', s, 
in,'IH N', s, IH
of,'AH V', s, 
it,'IH T', s, IH
sit,'S IH T', s, IH
thou,'DH AW', s, 
by,'B AY', s, AY
my,'M AY', s, AY
bed,'B EH D', s, 
and,'AH N D', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
the,'DH AH', s, 
very,'V EH R IY', s, IY
latest,'L EY T AH S T', s, EY
that,'DH AE T', s, AE
i,'AY', s, AY
shall,'SH AE L', s, AE
god,'G AA D', s, AA
my,'M AY', s, AY
son,'S AO ̃', s, AO
by,'B AY', s, AY
what,'W AH T', s, 
and,'AH N D', s, 
i,'AY', s, AY
met,'M EH T', s, 
this,'DH IH S', s, IH
crown,'K r ǝ UH N', s, UH
and,'AH N D', s, 
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
well,'W EH L', s, 
troublesme,'T r ɤ B ǝ L S ǝ', s, 
it,'IH T', s, IH
sat,'S AE T', s, AE
upon,'AH P AA N', s, AA
my,'M AY', s, AY
to,'T UW', s, UW
thee,'DH IY', s, IY
it,'IH T', s, IH
shall,'SH AE L', s, AE
descend,'D IH S EH N D', s, IH
with,'W IH DH', s, IH
better,'B e T ə R', s, 
better,'B e T ə R', s, 
better,'B e T ə R', s, 
for,'F AO R', s, AO
all,'AA L', s, AA
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
goes,'G OW Z', s, 
with,'W IH DH', s, IH
me,'M IY', s, IY
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
it,'IH T', s, IH
in,'IH N', s, IH
me,'M IY', s, IY
but,'B AH T', s, 
as,'AE Z', s, AE
an,'AE N', s, AE
with,'W IH DH', s, IH
and,'AH N D', s, 
i,'AY', s, AY
had,'HH AE D', s, AE
to,'T UW', s, UW
upbraid,'ɤ P B r EH D', s, 
my,'M AY', s, AY
gain,'G EH N', s, 
of,'AH V', s, 
it,'IH T', s, IH
by,'B AY', s, AY
their,'DH EH R', s, 
to,'T UW', s, UW
and,'AH N D', s, 
to,'T UW', s, UW
wounding,'W ǝ UH N D IH N', s, UH IH
all,'AA L', s, AA
bold,'B OW L D', s, 
fears,'F IY R Z', s, IY
thou,'DH AW', s, 
with,'W IH DH', s, IH
peril,'P EH R AH L', s, 
i,'AY', s, AY
for,'F AO R', s, AO
all,'AA L', s, AA
my,'M AY', s, AY
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
but,'B AH T', s, 
as,'AE Z', s, AE
a,'AH', s, 
that,'DH AE T', s, AE
and,'AH N D', s, 
my,'M AY', s, AY
death,'D EH TH', s, 
the,'DH AH', s, 
mood,'M UW D', s, UW
for,'F AO R', s, AO
what,'W AH T', s, 
in,'IH N', s, IH
me,'M IY', s, IY
was,'W AA Z', s, AA
purchased,'P ɐ R T SH IH S T', s, IH
upon,'AH P AA N', s, AA
thee,'DH IY', s, IY
in,'IH N', s, IH
a,'AH', s, 
fairer,'F EH R ǝ R', s, 
sort,'S AO R T', s, AO
so,'S OW', s, 
thou,'DH AW', s, 
the,'DH AH', s, 
garland,'G AA R L ǝ N D', s, AA
yet,'Y EH T', s, 
thou,'DH AW', s, 
than,'DH AE N', s, AE
i,'AY', s, AY
do,'D OW', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
not,'N AA T', s, AA
firm,'F ɐ R M', s, 
green,'G R IY N', s, IY
and,'AH N D', s, 
all,'AA L', s, AA
my,'M AY', s, AY
friends,'F R EH N D Z', s, 
thou,'DH AW', s, 
must,'M AH S T', s, 
friends,'F R EH N D Z', s, 
but,'B AH T', s, 
their,'DH EH R', s, 
and,'AH N D', s, 
teeth,'T IY TH', s, IY
out,'AW T', s, 
by,'B AY', s, AY
fell,'F EH L', s, 
i,'AY', s, AY
was,'W AA Z', s, AA
and,'AH N D', s, 
by,'B AY', s, AY
i,'AY', s, AY
well,'W EH L', s, 
loge,'L AA JH', s, AA
a,'AH', s, 
fear,'F IY R', s, IY
to,'T UW', s, UW
be,'B IY', s, IY
again,'ǝ ɡ EH N', s, 
to,'T UW', s, UW
i,'AY', s, AY
cut,'K ɤ T', s, 
them,'DH EH M', s, 
off,'AO F', s, AO
and,'AH N D', s, 
had,'HH AE D', s, AE
a,'AH', s, 
to,'T UW', s, UW
lead,'L EH D', s, 
out,'AW T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
holy,'HH OW L IY', s, IY
land,'L AE N D', s, AE
lest,'L EH S T', s, 
rest,'R EH S T', s, 
and,'AH N D', s, 
lying,'L ǝ IH IH N', s, IH IH
still,'S T IH L', s, IH
them,'DH EH M', s, 
look,'L UH K', s, UH
too,'T UW', s, UW
near,'N IY R', s, IY
unto,'AH N T UW', s, UW
my,'M AY', s, AY
therefre,'DH EH R F AO R', s, AO
my,'M AY', s, AY
be,'B IY', s, IY
it,'IH T', s, IH
to,'T UW', s, UW
gidddy,'G IH D ǝ IH', s, IH IH
with,'W IH DH', s, IH
that,'DH AE T', s, AE
action,'AE K SH AH N', s, AE
out,'AW T', s, 
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
i,'AY', s, AY
but,'B AH T', s, 
my,'M AY', s, AY
wasted,'W AW S T IH D', s, IH
so,'S OW', s, 
that,'DH AE T', s, AE
strength,'S T R EH NG K TH', s, 
of,'AH V', s, 
speech,'S P IY CH', s, IY
is,'IH Z', s, IH
me,'M IY', s, IY
i,'AY', s, AY
by,'B AY', s, AY
the,'DH AH', s, 
crown,'K r ǝ UH N', s, UH
o,'OW', s, 
god,'G AA D', s, AA
forgve,'F ER G IH V', s, IH
and,'AH N D', s, 
grant,'G r AO N T', s, AO
it,'IH T', s, IH
with,'W IH DH', s, IH
thee,'DH IY', s, IY
in,'IH N', s, IH
true,'T R UW', s, UW
look,'L UH K', s, UH
look,'L UH K', s, UH
my,'M AY', s, AY
of,'AH V', s, 
lancaster,'L AW NG K AW S T ǝ R', s, 
thou,'DH AW', s, 
me,'M IY', s, IY
happiness,'HH AE P IY N AH S', s, AE IY
and,'AH N D', s, 
son,'S AO ̃', s, AO
but,'B AH T', s, 
with,'W IH DH', s, IH
is,'IH Z', s, IH
from,'F R AH M', s, 
this,'DH IH S', s, IH
trunk,'T r ɤ NG K', s, 
upon,'AH P AA N', s, AA
my,'M AY', s, AY
a,'AH', s, 
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
doth,'D AO TH', s, AO
unto,'AH N T UW', s, UW
the,'DH AH', s, 
i,'AY', s, AY
did,'D IH D', s, IH
swoon,'S W UW N', s, UW
laud,'L AO D', s, AO
be,'B IY', s, IY
to,'T UW', s, UW
god,'G AA D', s, AA
even,'IY V IH N', s, IY IH
my,'M AY', s, AY
must,'M AH S T', s, 
end,'EH N D', s, 
it,'IH T', s, IH
hath,'HH AE TH', s, AE
been,'B IH N', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
years,'Y IH R Z', s, IH
i,'AY', s, AY
not,'N AA T', s, AA
but,'B AH T', s, 
in,'IH N', s, IH
vainly,'V EY N L IY', s, EY IY
i,'AY', s, AY
the,'DH AH', s, 
holy,'HH OW L IY', s, IY
land,'L AE N D', s, AE
but,'B AH T', s, 
bear,'B EH R', s, 
me,'M IY', s, IY
to,'T UW', s, UW
that,'DH AE T', s, AE
in,'IH N', s, IH
that,'DH AE T', s, AE
shall,'SH AE L', s, AE
